date_block_num,cpi
0,7.10%
1,7.30%
2,7.00%
3,7.20%
4,7.40%
5,6.90%
6,6.50%
7,6.50%
8,6.10%
9,6.30%
10,6.50%
11,6.50%
12,6.10%
13,6.20%
14,6.90%
15,7.30%
16,7.60%
17,7.80%
18,7.40%
19,7.60%
20,8.00%
21,8.30%
22,9.10%
23,11.40%
24,15.00%
25,16.70%
26,16.90%
27,16.40%
28,15.80%
29,15.30%
30,15.60%
31,15.80%
32,15.70%
33,15.60%
34,15.00%
