"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","위도","경도"
"5285","제2종일반주거지역_01053","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4806475","126.9634983"
"5287","제1종일반주거지역_00054","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5721751","126.9650921"
"5289","제2종일반주거지역(7층이하)_00905","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5022844","127.0158735"
"5290","제2종일반주거지역_00047","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5327568","127.1473312"
"5131","제2종일반주거지역_01273","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5009542","127.1230462"
"5132","준주거지역_4460","UQA130","준주거지역","41080","2400","준주거지역"," ","37.5342867","126.9011595"
"5089","제2종일반주거지역_UQA12220120918073","UQA122","제2종일반주거지역","UQA12220120918073","58029813","제2종일반주거지역(12층이하)","20110526","37.4931321","126.9054116"
"5090","제2종일반주거지역(7층이하)_00691","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5067493","126.8649794"
"5091","제2종일반주거지역_UQA12220101118517","UQA122","제2종일반주거지역","UQA12220101118517","58024951","제2종일반주거지역","20101021","37.5802316","127.0610642"
"5092","준주거지역_4190","UQA130","준주거지역"," "," ","준주거지역"," ","37.5703365","127.0574325"
"5295","제2종일반주거지역_UQA12220120828037","UQA122","제2종일반주거지역","UQA12220120828037","58029655","제2종일반주거지역","20120223","37.5489732","127.1061567"
"5296","제1종일반주거지역_00169","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.546269","127.0948121"
"5301","제1종일반주거지역_00955","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4533429","126.8909384"
"5302","준주거지역_4183","UQA130","준주거지역"," "," ","준주거지역"," ","37.5628826","127.05985"
"5304","제3종일반주거지역_UQA12320121108160","UQA123","제3종일반주거지역","UQA12320121108160","58030063","제3종일반주거지역","20120912","37.5519273","127.1470954"
"5306","제2종일반주거지역_00886","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4930427","126.8641141"
"5266","준주거지역_UQA13020120828039","UQA130","준주거지역","UQA13020120828039","58029655","준주거지역","20120223","37.546576","127.1036086"
"5270","제2종일반주거지역_UQA12220121106152","UQA122","제2종일반주거지역","UQA12220121106152","58030043","제2종일반주거지역","20120705","37.5502591","127.0220082"
"5237","자연녹지지역_00097","UQA430","자연녹지지역"," "," ","자연녹지지역"," ","37.5360177","126.8272228"
"5085","제3종일반주거지역_589","UQA123","제3종일반주거지역","104874","12000459","제3종일반주거지역"," ","37.4891131","127.0630528"
"5247","제1종일반주거지역_01273","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4809487","127.0781279"
"5127","제2종일반주거지역_00804","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5291791","126.8644984"
"5280","제1종일반주거지역_00730","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.523336","126.8671183"
"5294","제2종일반주거지역(7층이하)_UQA12420121113187","UQA124","제2종일반주거지역(7층이하)","UQA12420121113187","58030080","제2종일반주거지역(7층이하)","20120809","37.6021344","127.1046837"
"5003","제2종일반주거지역(7층이하)_00636","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5503976","126.9186219"
"5006","제3종일반주거지역_UQA12320110125680","UQA123","제3종일반주거지역","UQA12320110125680","58026337","제3종일반주거지역","20110120","37.5657185","126.8534102"
"5009","제2종일반주거지역(7층이하)_00086","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5768177","126.9609952"
"5011","제2종일반주거지역_00962","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5115416","126.9183768"
"5014","제2종일반주거지역_01264","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5341896","127.1139814"
"5097","제2종일반주거지역(7층이하)_00543","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.620474","126.928522"
"5098","제2종일반주거지역_01375","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5960225","127.0642003"
"5101","제1종일반주거지역_UQA12120120315667","UQA121","제1종일반주거지역","UQA12120120315667","58028641","제1종 일반주거지역","20110106","37.4795354","126.8390862"
"5272","제1종일반주거지역_01016","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5074155","126.9297538"
"5273","제2종일반주거지역(7층이하)_00300","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5901274","127.0640483"
"5275","제3종일반주거지역_UQA12320091213002","UQA123","제3종일반주거지역","UQA12320091213002","58015850","제3종일반주거지역"," ","37.6134222","127.096243"
"5276","제1종전용주거지역_43","UQA111","제1종전용주거지역","32323","1794","제1종전용주거지역"," ","37.4728968","127.0262302"
"5277","제2종일반주거지역_00634","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5584455","126.9387769"
"5279","제3종일반주거지역_00285","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5905991","127.0154628"
"5281","제3종일반주거지역_00149","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5376032","127.063995"
"5096","제2종일반주거지역(7층이하)_UQA12420120822017","UQA124","제2종일반주거지역(7층이하)","UQA12420120822017","58029476","제2종일반주거지역(7층)","20110728","37.6021114","127.1067335"
"5151","제1종일반주거지역_00229","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5922141","127.0951905"
"5164","제1종일반주거지역_UQA12120141104409","UQA121","제1종일반주거지역","UQA12120141104409","58033817","제1종일반주거지역","20131212","37.5423154","127.1279271"
"5305","제3종일반주거지역_00581","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5207431","126.9352925"
"5080","제2종일반주거지역_01095","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4667281","126.9307042"
"5176","제1종일반주거지역_00327","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.6405568","127.02446"
"5309","제3종일반주거지역_00486","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5527732","126.8493527"
"5157","제2종일반주거지역(7층이하)_00359","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5967093","127.03786"
"5197","제2종일반주거지역_00371","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5915293","127.0224173"
"5015","제2종일반주거지역(7층이하)_00746","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5015719","126.854679"
"5016","제3종일반주거지역_UQA12320140819290","UQA123","제3종일반주거지역","UQA12320140819290","58033492","제3종일반주거지역","20140619","37.6025142","127.0759677"
"5020","준주거지역_4329","UQA130","준주거지역","32953","1863","준주거지역"," ","37.4934585","127.1439841"
"5021","제2종일반주거지역(7층이하)_00997","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.4868752","127.0438042"
"5106","제2종일반주거지역(7층이하)_UQA12420131119848","UQA124","제2종일반주거지역(7층이하)","UQA12420131119848","58032134","제2종일반주거지역(7층)","20130711","37.5547694","126.9621943"
"5112","제2종일반주거지역(7층이하)_00768","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.4991412","126.849634"
"5115","제1종일반주거지역_00051","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5724015","126.9664823"
"5116","제2종일반주거지역_UQA12220131226000","UQA122","제2종일반주거지역","UQA12220131226000","58032325","제2종일반주거지역","20131024","37.598805","126.926646"
"5118","제2종일반주거지역(7층이하)_UQA12420100324200","UQA124","제2종일반주거지역(7층이하)","UQA12420100324200","58021151","제2종일반주거지역(7층이하)","20100318","37.6144547","127.0260326"
"5282","제2종일반주거지역(7층이하)_UQA12420141105425","UQA124","제2종일반주거지역(7층이하)","UQA12420141105425","58033827","제2종일반주거지역(7층이하)","20131017","37.5918903","127.0196268"
"5286","제2종일반주거지역_00272","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5696514","127.0725646"
"5288","제3종일반주거지역_UQA12320111221505","UQA123","제3종일반주거지역","UQA12320111221505","58028228","제3종일반주거지역","20111013","37.5434023","126.9355794"
"5291","준주거지역_UQA13020091111001","UQA130","준주거지역","UQA13020091111001","58016208","준주거지역"," ","37.5044479","126.9393542"
"5292","제1종일반주거지역_UQA12120130827687","UQA121","제1종일반주거지역","UQA12120130827687","58031681","제1종일반주거지역","20130207","37.5631322","126.9543147"
"5293","준주거지역_UQA13020130826674","UQA130","준주거지역","UQA13020130826674","58031662","준주거지역","20130516","37.53658","127.0858896"
"5194","제2종일반주거지역(7층이하)_00576","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.597717","126.9453554"
"5253","제2종일반주거지역_01408","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5420559","126.8642556"
"5023","제2종일반주거지역_UQA12220091217004","UQA122","제2종일반주거지역","UQA12220091217004","58016208","제2종일반주거지역"," ","37.5045055","126.9389798"
"5024","제2종일반주거지역_UQA12220091216001","UQA122","제2종일반주거지역","UQA12220091216001","58008928","제2종일반주거지역"," ","37.5202655","126.8563117"
"5026","제2종일반주거지역_UQA12220081226808","UQA122","제2종일반주거지역","UQA12220081226808","58012029","제2종일반주거지역"," ","37.495133","126.9027883"
"5027","제3종일반주거지역_00594","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5081411","126.9281163"
"5117","준주거지역_UQA13020130822653","UQA130","준주거지역","UQA13020130822653","58031649","준주거지역","20130808","37.5983902","127.0633935"
"5120","제2종일반주거지역_UQA12220120820993","UQA122","제2종일반주거지역","UQA12220120820993","58029376","제2종일반주거지역","20120302","37.4881158","127.0937091"
